country,city,activeUsers,newUsers,engagedSessions,engagementRate,averageSessionDuration
"Poland","Warsaw","66","59","85","0.92391304347826086","1069.8186644021739"
"Poland","Wroclaw","59","55","70","0.97222222222222221","154.53421516666666"
"Poland","Swieradow-Zdroj","53","46","105","0.88235294117647056","367.95073984873954"
"Poland","Poznan","46","35","50","0.94339622641509435","153.8205883018868"
"Czechia","Prague","19","18","21","0.91304347826086951","167.07674560869563"
"Poland","Jelenia Gora","15","12","18","0.9","145.15321665"
"(not set)","(not set)","14","14","14","1","0.85129957142857138"
"Poland","Katowice","12","11","12","1","40.874457"
"United States","Columbus","12","12","0","0","0"
"Poland","Zielona Gora","9","8","11","1","126.18146736363637"
"United Kingdom","London","8","8","8","1","28.960090625"
"Belgium","Antwerp","7","7","5","0.7142857142857143","3.974294142857143"
"Poland","Bydgoszcz","7","7","7","0.875","36.841077"
"Poland","Krakow","7","7","7","0.77777777777777779","34.952085333333329"
"Poland","Rzeszow","7","4","10","1","18.315238299999997"
"Belgium","Brussels","6","5","6","0.75","61.566918125"
"Poland","Gdansk","6","6","9","1","168.05642866666665"
"Germany","(not set)","5","5","6","1","68.476754666666665"
"Czechia","Brno","4","0","6","1","47.853113"
"Poland","(not set)","4","3","4","1","55.2027145"
"Czechia","Kladno","3","1","4","1","433.45456025"
"Poland","Jawor","3","3","3","1","926.7131536666667"
"Poland","Lodz","3","2","3","0.75","23.361669"
"Poland","Lubin","3","3","3","1","109.92031166666668"
"Poland","Lublin","3","3","3","1","82.95788366666666"
"Poland","Pruszkow","3","2","3","1","45.950866666666663"
"Poland","Szczecin","3","3","7","1","228.493086"
"China","(not set)","2","2","1","0.5","0.0169335"
"China","Lanzhou","2","2","2","1","1.0091105"
"Netherlands","Rotterdam","2","2","2","1","4.9041225"
"Poland","Dabrowa Gornicza","2","2","2","0.66666666666666663","1407.3878836666665"
"Poland","Gorzow Wielkopolski","2","2","2","1","96.248905"
"Poland","Gryfow Slaski","2","2","2","1","10.2120985"
"Poland","Legnica","2","2","2","1","104.99698"
"Poland","Ruda Slaska","2","2","2","1","42.8938035"
"Poland","Sosnowiec","2","2","2","1","43.8356275"
"Singapore","(not set)","2","2","2","1","5.532443"
"Ukraine","Lviv","2","2","2","0.66666666666666663","3.248018333333333"
"United States","(not set)","2","2","2","1","4.998226"
"United States","Ashburn","2","2","2","1","27.2848205"
"United States","Aspen","2","2","2","1","4.7790325"
"Belgium","Beringen","1","1","1","1","4.927946"
"Belgium","Brakel","1","1","1","1","0.013434"
"Belgium","Bree","1","1","1","1","4.892437"
"Belgium","Diepenbeek","1","1","1","1","4.945221"
"Belgium","Diest","1","1","1","1","0.540066"
"Belgium","Diksmuide","1","1","1","1","4.843509"
"Belgium","Flemalle","1","1","1","1","4.900022"
"Belgium","Fleurus","1","1","1","1","4.831448"
"Belgium","Genk","1","1","1","1","29.788156"
