eventName,eventCount,totalUsers,eventCountPerUser
"page_view","3673","668","5.4985029940119761"
"session_start","857","668","1.282934131736527"
"first_visit","659","659","1"
"user_engagement","407","149","2.75"
"scroll","399","279","1.4301075268817205"
"click","58","43","1.3488372093023255"
