country,city,activeUsers,newUsers,engagedSessions,engagementRate,averageSessionDuration
"Poland","Warsaw","64","57","83","0.92222222222222228","1084.6219699666667"
"Poland","Wroclaw","59","55","70","0.97222222222222221","154.53421516666668"
"Poland","Swieradow-Zdroj","51","44","105","0.88235294117647056","372.82650449579836"
"Poland","Poznan","44","33","48","0.94117647058823528","151.7234655098039"
"Czechia","Prague","19","18","21","0.91304347826086951","167.07674560869563"
"Poland","Jelenia Gora","15","12","18","0.9","145.15321665"
"(not set)","(not set)","14","14","14","1","0.85129957142857138"
"Poland","Katowice","12","11","12","1","40.874457"
"United States","Columbus","12","12","0","0","0"
"Belgium","Antwerp","10","10","8","0.8","4.2196185"
"Poland","Zielona Gora","8","7","8","1","93.134728125"
"United Kingdom","London","8","8","8","1","28.960090625"
"Belgium","Brussels","7","6","6","0.66666666666666663","54.726149444444445"
"Poland","Krakow","7","7","7","0.77777777777777779","34.952085333333329"
"Poland","Rzeszow","7","4","10","1","18.315238299999997"
"Poland","Bydgoszcz","6","6","6","1","46.548343999999993"
"Poland","Gdansk","6","6","9","1","168.05642866666665"
"Germany","(not set)","5","5","6","1","68.476754666666665"
"Czechia","Brno","4","0","6","1","47.853113"
"Poland","(not set)","4","3","4","1","55.2027145"
"Poland","Szczecin","4","4","8","1","202.32765075"
"Belgium","","3","3","2","0.66666666666666663","5.622855"
"Czechia","Kladno","3","1","4","1","433.45456025"
"Netherlands","Rotterdam","3","3","2","0.66666666666666663","3.269415"
"Poland","Jawor","3","3","3","1","926.7131536666667"
"Poland","Lubin","3","3","3","1","109.92031166666668"
"Poland","Lublin","3","3","3","1","82.95788366666666"
"Poland","Pruszkow","3","2","3","1","45.950866666666663"
"Belgium","(not set)","2","2","2","1","2.206109"
"Belgium","Beringen","2","2","1","0.5","2.463973"
"Belgium","Ghent","2","2","1","0.5","0.813597"
"Belgium","Herstal","2","2","2","1","4.9310895"
"Belgium","Lier","2","2","2","1","5.605724"
"Belgium","Maasmechelen","2","2","2","1","18.067899"
"China","(not set)","2","2","1","0.5","0.0169335"
"China","Lanzhou","2","2","2","1","1.0091105"
"Poland","Dabrowa Gornicza","2","2","2","0.66666666666666663","1407.3878836666665"
"Poland","Gorzow Wielkopolski","2","2","2","1","96.248905"
"Poland","Gryfow Slaski","2","2","2","1","10.2120985"
"Poland","Legnica","2","2","2","1","104.99698"
"Poland","Lodz","2","1","2","0.66666666666666663","27.676286"
"Poland","Ruda Slaska","2","2","2","1","42.8938035"
"Poland","Sosnowiec","2","2","2","1","43.8356275"
"Singapore","(not set)","2","2","2","1","5.532443"
"Ukraine","Lviv","2","2","2","0.66666666666666663","3.248018333333333"
"United States","(not set)","2","2","2","1","4.998226"
"United States","Ashburn","2","2","2","1","27.2848205"
"United States","Aspen","2","2","2","1","4.7790325"
"Belgium","Aalst","1","1","0","0","0"
"Belgium","Ardooie","1","1","1","1","4.850578"
