eventName,eventCount,totalUsers,eventCountPerUser
"page_view","3290","508","6.4763779527559056"
"session_start","689","509","1.3562992125984252"
"first_visit","499","499","1"
"scroll","392","277","1.4151624548736461"
"user_engagement","387","149","2.63265306122449"
"click","57","42","1.3571428571428572"
